,spectral irradiance,wavelength
0,607.0,390.82847973147994
1,603.0,391.08373632838175
2,600.5,391.3389929252836
3,600.0,391.5942495221854
4,600.5,391.84950611908727
5,600.0,392.10476271598907
6,598.5,392.36001931289087
7,597.5,392.61527590979273
8,598.0,392.87053250669453
9,598.0,393.1257891035964
10,596.5,393.3810457004982
11,599.0,393.63630229740005
12,595.5,393.89155889430185
13,595.0,394.14681549120365
14,597.5,394.4020720881055
15,592.0,394.6573286850073
16,599.5,394.9125852819092
17,596.5,395.167841878811
18,594.5,395.4230984757128
19,596.0,395.67835507261464
20,596.5,395.93361166951644
21,598.0,396.1888682664183
22,596.5,396.4441248633201
23,596.0,396.6993814602219
24,598.0,396.95463805712376
25,599.0,397.20989465402556
26,595.0,397.4651512509274
27,596.5,397.7204078478292
28,597.5,397.9756644447311
29,599.5,398.2309210416329
30,596.5,398.4861776385347
31,598.0,398.74143423543654
32,599.5,398.99669083233834
33,598.0,399.2519474292402
34,598.5,399.507204026142
35,601.0,399.7624606230438
36,598.0,400.01771721994567
37,601.0,400.27297381684747
38,602.5,400.5282304137493
39,598.5,400.78348701065113
40,603.5,401.038743607553
41,602.5,401.2940002044548
42,600.0,401.5492568013566
43,600.0,401.80451339825845
44,604.0,402.05976999516025
45,600.0,402.3150265920621
46,600.5,402.5702831889639
47,603.0,402.8255397858657
48,601.0,403.0807963827676
49,602.0,403.3360529796694
50,604.5,403.59130957657123
51,604.5,403.84656617347304
52,603.0,404.10182277037484
53,606.0,404.3570793672767
54,601.5,404.6123359641785
55,602.5,404.86759256108036
56,608.0,405.12284915798216
57,599.0,405.378105754884
58,603.0,405.6333623517858
59,600.5,405.8886189486876
60,608.5,406.1438755455895
61,605.0,406.3991321424913
62,604.0,406.65438873939314
63,601.5,406.90964533629494
64,608.0,407.16490193319675
65,605.0,407.4201585300986
66,606.0,407.6754151270004
67,603.0,407.93067172390226
68,602.0,408.18592832080407
69,606.5,408.44118491770587
70,607.5,408.6964415146077
