,spectral irradiance,wavelength
0,0.8320436126157205,3.8888500800000003e-07
1,0.9130376319691434,3.8914255883600004e-07
2,0.9107231847289764,3.8940010967200005e-07
3,0.8985589126206912,3.8965766050800006e-07
4,0.8685618507480446,3.89915211344e-07
5,0.841036034582308,3.9017276218e-07
6,0.8297691412090807,3.9043031301600004e-07
7,0.8370106127647369,3.9068786385200004e-07
8,0.8048666823830696,3.9094541468800005e-07
9,0.7069815076677154,3.9120296552400006e-07
10,0.6058257791038824,3.9146051636000007e-07
11,0.5557846507143147,3.917180671960001e-07
12,0.5582583538312578,3.9197561803200004e-07
13,0.5978777150543757,3.9223316886800005e-07
14,0.6567940654502853,3.9249071970400006e-07
15,0.7379557349005071,3.9274827054000006e-07
16,0.8121873152542144,3.930058213760001e-07
17,0.8491929280991485,3.932633722120001e-07
18,0.8621095349269551,3.935209230480001e-07
19,0.8717481161377172,3.9377847388400005e-07
20,0.8919813337794585,3.9403602472e-07
21,0.8838442295098556,3.94293575556e-07
22,0.8404278357605307,3.94551126392e-07
23,0.7540899693185606,3.9480867722800003e-07
24,0.6478313617766013,3.9506622806400004e-07
25,0.5946955216071368,3.9532377890000005e-07
26,0.6071213551926814,3.9558132973600006e-07
27,0.6797822167205934,3.9583888057200007e-07
28,0.797498428547564,3.96096431408e-07
29,0.908380444730486,3.9635398224400003e-07
30,0.9580173036979754,3.9661153308000004e-07
31,0.974918068755777,3.9686908391600005e-07
32,0.9716027478414094,3.9712663475200006e-07
33,0.9911446935547217,3.9738418558800007e-07
34,0.9886661038398165,3.976417364240001e-07
35,1.0,3.978992872600001e-07
36,0.9957174182775532,3.9815683809600005e-07
37,0.9927633626354647,3.9841438893200005e-07
38,0.9820860467741959,3.9867193976800006e-07
39,0.9619260640363931,3.9892949060400007e-07
40,0.957969234525037,3.9918704144000003e-07
41,0.943657049130552,3.9944459227600004e-07
42,0.9559131339003089,3.9970214311200005e-07
43,0.972739234890116,3.9995969394800006e-07
44,0.96549267498613,4.00217244784e-07
45,0.9672505457203232,4.0047479562e-07
46,0.9629626359342558,4.0073234645600003e-07
47,0.9551650634994114,4.0098989729200004e-07
48,0.9477042692416903,4.0124744812800005e-07
49,0.9165339121089082,4.0150499896400006e-07
50,0.8685248758413316,4.0176254980000007e-07
51,0.8720245896155998,4.020201006360001e-07
52,0.875196858824926,4.0227765147200003e-07
53,0.8984359417716096,4.0253520230800004e-07
54,0.8714115186088414,4.0279275314400005e-07
55,0.8027310632724866,4.0305030398000006e-07
56,0.7860685076207804,4.0330785481600007e-07
57,0.8171438525867741,4.035654056520001e-07
58,0.8350800389652896,4.038229564880001e-07
59,0.8135485137494128,4.040805073240001e-07
60,0.7911662900202242,4.0433805816000005e-07
61,0.7846539665225718,4.04595608996e-07
62,0.7631951803867192,4.04853159832e-07
63,0.7447921623017737,4.0511071066800003e-07
64,0.7675133217691248,4.0536826150400004e-07
65,0.7826709433560641,4.0562581234000005e-07
66,0.7770149093343505,4.0588336317600005e-07
67,0.7608922324640321,4.0614091401200006e-07
68,0.7454669589982187,4.06398464848e-07
69,0.7625515506802498,4.0665601568400003e-07
70,0.7809305608767817,4.0691356652000004e-07
71,0.7757366586744248,4.0717111735600005e-07
72,0.7944863218863799,4.0742866819200006e-07
73,0.8177968937948301,4.0768621902800007e-07
74,0.8019659147679626,4.079437698640001e-07
75,0.7678881081359817,4.082013207000001e-07
76,0.7248669360672512,4.0845887153600004e-07
77,0.6644172193646926,4.0871642237200005e-07
78,0.6463570670978265,4.0897397320800006e-07
79,0.7020625960666607,4.0923152404400007e-07
80,0.7487675292902182,4.094890748800001e-07
81,0.7643281913906858,4.097466257160001e-07
82,0.7872366202967142,4.100041765520001e-07
83,0.8130553544352007,4.102617273880001e-07
84,0.8019316298988836,4.10519278224e-07
85,0.7690010329067823,4.1077682906e-07
86,0.7725949171945735,4.11034379896e-07
87,0.7490486093527284,4.1129193073200004e-07
88,0.7199507907113091,4.1154948156800004e-07
89,0.6899483226430134,4.1180703240400005e-07
90,0.6643137045902229,4.1206458324000006e-07
91,0.6992994621977262,4.1232213407600007e-07
92,0.7359513248484754,4.1257968491200003e-07
93,0.7065627819659046,4.1283723574800004e-07
94,0.6664852621271948,4.1309478658400005e-07
95,0.6767853729286482,4.1335233742000006e-07
96,0.69625236625582,4.1360988825600006e-07
97,0.6904823702424938,4.138674390920001e-07
98,0.666660438334237,4.141249899280001e-07
99,0.6477253590476536,4.143825407640001e-07
100,0.6720638971462295,4.1464009160000005e-07
101,0.7032822372928393,4.1489764243600006e-07
102,0.7121903684369358,4.1515519327200007e-07
103,0.6927589203185405,4.154127441080001e-07
104,0.670781552963015,4.156702949440001e-07
105,0.6394567144985429,4.1592784578000004e-07
106,0.614526481655592,4.1618539661600005e-07
107,0.6206537874321695,4.16442947452e-07
108,0.6381767017760936,4.16700498288e-07
109,0.6359145337590922,4.16958049124e-07
110,0.6236008080817329,4.1721559996000003e-07
111,0.6114876554512042,4.1747315079600004e-07
112,0.6184311734172939,4.1773070163200005e-07
113,0.6572044330160021,4.1798825246800006e-07
114,0.6477581067776105,4.1824580330400007e-07
115,0.5953667222270672,4.185033541400001e-07
116,0.5746855439019306,4.1876090497600004e-07
117,0.588004952418132,4.1901845581200004e-07
118,0.6231883003995745,4.1927600664800005e-07
119,0.652927824304254,4.1953355748400006e-07
120,0.6443644972685422,4.1979110832000007e-07
121,0.6582893685115808,4.200486591560001e-07
122,0.6393694081525639,4.203062099920001e-07
123,0.6251169871259527,4.2056376082800005e-07
