,spectral irradiance,wavelength
0,0.3517932141808062,3.8888500800000003e-07
1,0.3630647003746935,3.8914255883600004e-07
2,0.3671597157296521,3.8940010967200005e-07
3,0.36672209403855316,3.8965766050800006e-07
4,0.35932753890424757,3.89915211344e-07
5,0.3477070114709096,3.9017276218e-07
6,0.3453745490553848,3.9043031301600004e-07
7,0.3388841603665065,3.9068786385200004e-07
8,0.323014625485505,3.9094541468800005e-07
9,0.2930446273529044,3.9120296552400006e-07
10,0.2636675175353542,3.9146051636000007e-07
11,0.24206756547030298,3.917180671960001e-07
12,0.24332509954907203,3.9197561803200004e-07
13,0.2607871096953697,3.9223316886800005e-07
14,0.28669855232120706,3.9249071970400006e-07
15,0.3223662480963995,3.9274827054000006e-07
16,0.3550576493290173,3.930058213760001e-07
17,0.3715120485236672,3.932633722120001e-07
18,0.37744466273708877,3.935209230480001e-07
19,0.38195007989724317,3.9377847388400005e-07
20,0.39110785755635613,3.9403602472e-07
21,0.38783065330530364,3.94293575556e-07
22,0.3690565282713954,3.94551126392e-07
23,0.331392080818188,3.9480867722800003e-07
24,0.28491011154812557,3.9506622806400004e-07
25,0.26173869146082224,3.9532377890000005e-07
26,0.2674093348043141,3.9558132973600006e-07
27,0.29963951032151076,3.9583888057200007e-07
28,0.35179346577281695,3.96096431408e-07
29,0.4010096175701028,3.9635398224400003e-07
30,0.43229874039253796,3.9661153308000004e-07
31,0.45125352120870177,3.9686908391600005e-07
32,0.4650777830140261,3.9712663475200006e-07
33,0.4795525905409733,3.9738418558800007e-07
34,0.4915264065765901,3.976417364240001e-07
35,0.4946961594668217,3.978992872600001e-07
36,0.49372056818713883,3.9815683809600005e-07
37,0.49648731176076,3.9841438893200005e-07
38,0.49672845216258543,3.9867193976800006e-07
39,0.48967701710555517,3.9892949060400007e-07
40,0.4881103795299575,3.9918704144000003e-07
41,0.48971295394052544,3.9944459227600004e-07
42,0.500893470817343,3.9970214311200005e-07
43,0.5062819116364285,3.9995969394800006e-07
44,0.5070159282171546,4.00217244784e-07
45,0.5075745483030318,4.0047479562e-07
46,0.5068648443603962,4.0073234645600003e-07
47,0.5080013593436206,4.0098989729200004e-07
48,0.5074337029546422,4.0124744812800005e-07
49,0.4909296731377743,4.0150499896400006e-07
50,0.4680546345635445,4.0176254980000007e-07
51,0.46360924072189796,4.020201006360001e-07
52,0.48013366313540756,4.0227765147200003e-07
53,0.49326739692779703,4.0253520230800004e-07
54,0.4788041092729047,4.0279275314400005e-07
55,0.4414121782261129,4.0305030398000006e-07
56,0.4325882277397418,4.0330785481600007e-07
57,0.4500422234978615,4.035654056520001e-07
58,0.4602816669936574,4.038229564880001e-07
59,0.4487663097639297,4.040805073240001e-07
60,0.43676332410162877,4.0433805816000005e-07
61,0.433509423869815,4.04595608996e-07
62,0.42198629681827377,4.04853159832e-07
63,0.41213601458678906,4.0511071066800003e-07
64,0.42504460648086373,4.0536826150400004e-07
65,0.433781766473658,4.0562581234000005e-07
66,0.4309881249106216,4.0588336317600005e-07
67,0.4223800008007036,4.0614091401200006e-07
68,0.4141457528334316,4.06398464848e-07
69,0.4239737900531414,4.0665601568400003e-07
70,0.43453781670693925,4.0691356652000004e-07
71,0.43199149988384083,4.0717111735600005e-07
72,0.4427855153903168,4.0742866819200006e-07
73,0.45614077754803545,4.0768621902800007e-07
74,0.44766813052833465,4.079437698640001e-07
75,0.4289882524397303,4.082013207000001e-07
76,0.40527825271001816,4.0845887153600004e-07
77,0.37177809894145114,4.0871642237200005e-07
78,0.36196259905378186,4.0897397320800006e-07
79,0.3934736590700525,4.0923152404400007e-07
80,0.4199869736698647,4.094890748800001e-07
81,0.4290600131872217,4.097466257160001e-07
82,0.4422757750220263,4.100041765520001e-07
83,0.45714927204435224,4.102617273880001e-07
84,0.4512587835998624,4.10519278224e-07
85,0.44506675054100664,4.1077682906e-07
86,0.4485818362791111,4.11034379896e-07
87,0.4453891230886655,4.1129193073200004e-07
88,0.4365693072186299,4.1154948156800004e-07
89,0.4232449284927211,4.1180703240400005e-07
90,0.4136993962556442,4.1206458324000006e-07
91,0.4348039151801123,4.1232213407600007e-07
92,0.4633758465869569,4.1257968491200003e-07
93,0.4563302741764209,4.1283723574800004e-07
94,0.42906949278177725,4.1309478658400005e-07
95,0.43946883787988006,4.1335233742000006e-07
96,0.45649353647357804,4.1360988825600006e-07
97,0.4531499000117463,4.138674390920001e-07
98,0.44504410287929197,4.141249899280001e-07
99,0.4426023083611753,4.143825407640001e-07
100,0.4611603685305276,4.1464009160000005e-07
101,0.48491784774233326,4.1489764243600006e-07
102,0.49761908860038273,4.1515519327200007e-07
103,0.4863335861265597,4.154127441080001e-07
104,0.47924821749472163,4.156702949440001e-07
105,0.46116861831500044,4.1592784578000004e-07
106,0.447634925329208,4.1618539661600005e-07
107,0.4612150340144864,4.16442947452e-07
108,0.4757977196059114,4.16700498288e-07
109,0.4759381653573661,4.16958049124e-07
110,0.47756136015964074,4.1721559996000003e-07
111,0.47127681711055336,4.1747315079600004e-07
112,0.47850624107426937,4.1773070163200005e-07
113,0.5095862265585899,4.1798825246800006e-07
114,0.5100266011169884,4.1824580330400007e-07
115,0.47649786139691613,4.185033541400001e-07
116,0.4640244482806774,4.1876090497600004e-07
117,0.47813117856350484,4.1901845581200004e-07
118,0.5108666663195593,4.1927600664800005e-07
119,0.5416550923358943,4.1953355748400006e-07
120,0.5365884892353446,4.1979110832000007e-07
121,0.5529892029801999,4.200486591560001e-07
122,0.5411420632978017,4.203062099920001e-07
